Player,Pos,Age,Tm,All Star,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
P.J. Washington,PF,22,CHO,0,24,24,691,5.1,12,0.42,1.4,4.1,0.329,3.7,7.9,0.467,2.5,3.4,0.738,2.1,6.1,8.2,3.8,1.1,1.6,2.6,3.4,14
Yuta Watanabe,SF,26,TOR,0,18,0,223,2.9,8.2,0.353,1.9,4.5,0.429,1,3.7,0.261,1.3,1.3,1,2.6,6.9,9.5,1.1,1.5,1.8,1.3,3.1,9
Tremont Waters,PG,23,BOS,0,9,1,90,2.4,10.8,0.222,1.2,4.8,0.25,1.2,6,0.2,2.8,3.2,0.875,0.8,2.4,3.2,10,2,0,5.2,2.4,8.8
Paul Watson,SF,26,TOR,0,13,0,42,7.7,12,0.643,6.9,9.4,0.727,0.9,2.6,0.333,0,0,0,0.9,6.9,7.7,1.7,0,1.7,0.9,6,22.3
Quinndary Weatherspoon,SG,24,SAS,0,5,0,24,1.5,7.5,0.2,0,1.5,0,1.5,6,0.25,3,3,1,0,3,3,4.5,1.5,0,9,10.5,6
Russell Westbrook,PG,32,WAS,0,19,19,631,7.9,19.4,0.406,1.3,4.5,0.295,6.6,14.9,0.439,3.4,5.5,0.619,1.9,8.3,10.2,10.3,0.9,0.4,5.4,3.1,20.5
Coby White,PG,20,CHI,0,27,27,904,6,14.8,0.403,2.5,7.3,0.35,3.4,7.5,0.455,2.1,2.4,0.867,0.4,4.7,5.1,5.8,0.4,0.1,2.6,2.6,16.6
Derrick White,SG,26,SAS,0,8,4,189,6.5,16.4,0.395,2.9,8.4,0.341,3.6,8,0.452,2.1,2.9,0.733,0.2,2.5,2.7,5.9,1.5,1.5,1.3,3.4,17.9
Hassan Whiteside,C,31,SAC,0,20,0,296,8.5,13.7,0.619,0,0.1,0,8.5,13.6,0.625,3.3,6.2,0.529,3.8,10,13.7,1.1,0.7,3.3,2.3,4.3,20.3
Andrew Wiggins,PF,25,GSW,0,29,29,934,7.5,16.1,0.468,2.2,5.8,0.373,5.4,10.3,0.521,2.6,3.9,0.67,1.2,4.2,5.3,2.4,0.8,1.5,2,2.7,19.8
Grant Williams,PF,22,BOS,0,24,6,462,3.6,7.9,0.451,1.7,4.1,0.415,1.9,3.8,0.49,1.2,2.3,0.517,1.9,3.8,5.7,1.8,0.9,0.8,1.8,5.5,10.1
Kenrich Williams,PF,26,OKC,0,28,6,512,4.6,8.5,0.537,1.1,2.4,0.441,3.5,6.1,0.575,0.8,1.3,0.632,2.8,4.9,7.7,3.4,1.5,0.4,1.8,3.4,11
Lou Williams,PG,34,LAC,0,28,3,626,7.1,16.7,0.423,1.7,4.5,0.38,5.3,12.2,0.439,4,4.7,0.854,0.6,3.3,3.9,6.3,1.3,0.2,2.5,1.7,19.9
Patrick Williams,PF,19,CHI,0,26,26,720,4.8,10.5,0.455,1.1,2.9,0.397,3.6,7.7,0.477,2.3,2.9,0.797,1.1,4.8,5.9,1.4,0.9,0.9,1.9,2.9,13.1
Robert Williams,C,23,BOS,0,21,0,317,6.4,8.7,0.727,0,0.1,0,6.4,8.6,0.737,1.8,2.7,0.667,5.2,7.4,12.6,1.8,2.5,2.7,2.5,3.9,14.5
Zion Williamson,PF,20,NOP,2,27,27,880,10.6,17.2,0.618,0.2,0.7,0.375,10.4,16.6,0.627,6.1,8.6,0.718,2.7,4.8,7.5,3.4,1.1,0.8,2.5,2.9,27.7
D.J. Wilson,PF,24,MIL,0,10,0,94,5.4,14.2,0.378,3.1,8.8,0.348,2.3,5.4,0.429,0.4,0.8,0.5,1.1,7.3,8.4,1.1,0.4,1.1,1.5,4.6,14.2
